Reference time: 04/16/19 06:14:52 UTC,,,,,,,,,,,,,,,,,,,,,,,,,
CentisecTime: 155539529240,,,,,,,,,,,,,,,,,,,,,,,,,
DeviceID: 71, DeviceFamily: S6, OFVersion: 2.1.0.999, FirmwareVersion: 1.01,,,,,,,,,,,,,,,,,,,,,,
Acceleration.forward,Acceleration.side,Acceleration.up,Rotation.roll,Rotation.pitch,Rotation.yaw,RawPlayerLoad,SmoothedPlayerLoad,imuAcceleration.forward,imuAcceleration.side,imuAcceleration.up,imuOrientation.forward,imuOrientation.side,imuOrientation.up,Facing,Latitude,Longitude,Odometer,RawVelocity,SmoothedVelocity,GNSS.LPS.Acceleration,MetabolicPower,GNSS.Fix,GNSS.Strength,GNSS.HDOP,HeartRate
-1.07787,-0.467544,0.342672,-22.936,-163.358,-39.833,0.202148,1.39738,0.309322,-0.912587,-0.245463,0.915173,0.293609,-0.276136,84.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-1.19064,-0.398332,0.145684,8.784,-187.575,-48.983,0.220215,1.4099,0.170884,-0.79756,-0.0344889,0.931633,0.273175,-0.239657,83.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-1.35568,-0.228448,-0.074052,37.698,-209.108,-53.924,0.271973,1.42206,0.0297225,-0.598124,0.239724,0.945841,0.252384,-0.204176,83.2042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-1.60349,-0.042108,-0.37026,82.472,-226.066,-46.848,0.354004,1.43381,-0.195021,-0.386214,0.588351,0.956873,0.233775,-0.172466,92.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-1.97424,0.095348,-0.630652,124.501,-241.987,-28.609,0.412598,1.44511,-0.411897,-0.259289,1.01681,0.965062,0.21906,-0.143765,101.053,-37.8508838,144.9884813,362.987,1.3245,0.900237,0.628571,0,12,0,0.86,0
-2.57149,0.242968,-0.839256,145.119,-251.564,-8.784,0.527344,1.45591,-0.58373,-0.180732,1.64623,0.971308,0.207038,-0.117032,99.9407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-3.49303,0.403172,-0.875072,128.1,-269.132,-8.052,0.728027,1.46619,-0.613614,-0.176594,2.56677,0.976603,0.196638,-0.0870648,99.4079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-4.54524,0.59532,-0.916696,55.327,-307.806,-35.38,0.906738,1.47592,-0.729013,-0.119514,3.61608,0.981758,0.183897,-0.0483007,99.4835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-5.45613,0.829092,-1.13595,-32.269,-336.659,-91.012,0.93457,1.48509,-1.0898,0.096918,4.52721,0.986197,0.165372,-0.0081707,98.7485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-5.99144,1.0043,-1.66835,-94.123,-346.48,-175.009,0.8125,1.49369,-1.75065,0.43033,5.0365,0.990756,0.134094,0.0205117,98.5896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
