ts,cs,lat,long,o,v,a,hr,pl,mp,sl,x,y
1572409778,79,26.114677,31.222488999999996,6741.51,0.03,-0.16,0,491.79,0.13,0.03,457.4339491147525,-587.7805091860079
1572409778,89,26.114677,31.222488999999996,6741.51,0.02,-0.15,0,491.8,0.09,0.03,457.4339491147524,-587.7805279535318
1572409778,99,26.114677,31.222488999999996,6741.51,0.01,-0.14,0,491.8,0.06,0.03,457.4339491147524,-587.7805279535318
1572409779,9,26.114677999999998,31.222488999999996,6741.51,0.01,-0.13,0,491.8,0.04,0.03,457.43397228036235,-587.7805380560844
1572409779,19,26.114677999999998,31.222489999999993,6741.51,0,-0.12,0,491.8,0.02,0.03,457.43397228036247,-587.7805568236062
1572409779,29,26.114677999999998,31.222489999999993,6741.51,0,-0.1,0,491.8,0.01,0.03,457.43398386316704,-587.7805571830011
1572409779,39,26.114677999999998,31.222489999999993,6741.51,0,-0.09,0,491.8,0.01,0.04,457.434007028777,-587.7805766693134
1572409779,49,26.114677999999998,31.222489999999993,6741.51,0,-0.07,0,491.8,0.01,0.05,457.4340301943863,-587.780577388101
1572409779,59,26.114677999999998,31.222489999999993,6741.51,0,-0.05,0,491.8,0.01,0.05,457.4340417771915,-587.7805777474942
1572409779,69,26.114677999999998,31.222489999999993,6741.51,0,-0.04,0,491.8,0.01,0.06,457.4340649428016,-587.7805596987599
